timepoint,population,n_no,n_yes,median_no,median_yes,shift,ci_low,ci_high,simultaneous_ci_low,simultaneous_ci_high,p_value,q_value,effect_size
0,b_cell,325,331,9.758175,9.785035,-0.148700,-0.619663,0.327028,-0.768841,0.476056,0.5485408675,0.8853281082,0.4864606089
0,cd4_t_cell,325,331,29.530535,29.633822,-0.101794,-0.864394,0.663497,-1.104938,0.904292,0.796449593,0.8853281082,0.4941761562
0,cd8_t_cell,325,331,24.601028,24.395688,0.246624,-0.493914,0.983828,-0.722113,1.211078,0.5139556861,0.8853281082,0.5147292587
0,monocyte,325,331,20.286002,19.605580,0.434410,-0.260344,1.095819,-0.477308,1.316957,0.2113892818,0.8853281082,0.528198931
0,nk_cell,325,331,14.890454,14.997332,0.049555,-0.561770,0.653088,-0.753524,0.844549,0.8853281082,0.8853281082,0.503258192
7,b_cell,325,331,9.965741,9.233417,0.379036,-0.128625,0.887831,-0.290274,1.052847,0.1438647748,0.2397746247,0.5329769928
7,cd4_t_cell,325,331,29.547631,30.445660,-0.897305,-1.692269,-0.084006,-1.934795,0.161201,0.02970607205,0.1485303603,0.4509504997
7,cd8_t_cell,325,331,24.772727,24.696418,0.171915,-0.560357,0.905873,-0.793955,1.127431,0.637658095,0.637658095,0.5106297932
7,monocyte,325,331,20.032122,19.596891,0.237217,-0.417891,0.870413,-0.621700,1.077865,0.484136743,0.6051709287,0.5157889844
7,nk_cell,325,331,14.795928,14.419799,0.485397,-0.146646,1.124323,-0.339309,1.321889,0.1377526594,0.2397746247,0.533488264
14,b_cell,325,331,9.837049,9.107292,0.609659,0.125406,1.100444,-0.031014,1.252931,0.01441443504,0.07207217521,0.5552033465
14,cd4_t_cell,325,331,30.069868,30.790936,-0.717619,-1.512319,0.073646,-1.760583,0.323375,0.07547067704,0.1886766926,0.4598930978
14,cd8_t_cell,325,331,24.558124,25.077472,-0.132977,-0.866267,0.618506,-1.092728,0.858458,0.7407366897,0.7407366897,0.4925307925
14,monocyte,325,331,19.749628,19.623260,0.163031,-0.525466,0.857068,-0.740336,1.076872,0.6471033072,0.7407366897,0.5103323263
14,nk_cell,325,331,14.653386,14.352799,0.312157,-0.303712,0.935394,-0.498970,1.125694,0.3147007071,0.5245011785,0.5226864978
